AdaptationID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;
32;Los Pastores De Belen;;Lope De Vega;Margarita Xirgu;Escuela De Arte Dramático;Chile;Santiago De Chile;1942;10/12/42;Margarita Xirgu (director);;;;;;;;;;;
33;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Luis A. Baralt;;Cuba;;1942;;Isabel Fernandez (actress);;;;;;;;;;;
34;La Maya;;Lope De Vega;Margarita Ucelay;Circulo Hispano;US;New York;1942;;Margarita Ucelay (director), Federico de Onis (music);https://digitalcollections.barnard.edu/do/bf37598c-987d-41e6-ade2-a089f29ece15#page/2/mode/2up/search/lope;;;;;;;;;;
35;El Burlador De Sevilla;;Tirso De Molina;;Grupo Dramático Del Instituto Hispánico;US;New York;1943;10/4/43;;;;;;;;;;;;
36;El Retablo De Las Maravillas;;Miguel De Cervantes;Max Aub;El Bu;Mexico;Mexico City;1943;21/12/1943;Max Aub (director), Miguel Prieto Anguita (stage design);;;;;;;;;;;
37;La Gitanilla;;Miguel De Cervantes;;Teatro Gitano;USSR;Vladivostok;1943;23/11/1943;Cesar Arconada (adapter);;;;;;;;;;;
38;Numancia;;Miguel De Cervantes;Margarita Xirgu;Compañía Española de Margarita Xirgu;Uruguay;Montevideo;1943;;Rafael Alberti (adapter), Amelia de la Torre (actress), Isabel Pradas (actress), Helena Cortesina (actress), Enrique Álvarez Diosdado (actor), Andrés Mejuto (actor) y Edmundo Barbero (actor);;;;;;;;;;;
39;Fuente Ovejuna;;Lope De Vega;Federico De Onis;Sociedades Hispanas Confederadas;US;New York;1943;;Federico de Onis (director), Francisco Garcia Lorca (actor), Isabel Garcia Lorca (actress), Ernesto Dacal (actor), Pedro Escobal;;;;;;;;;;;
40;El Alcalde De Zalamea;;Pedro Calderon De La Barca;;Sociedades Hispanas Confederadas;US;New York;1943;6/8/43;Leocadio Lobo (actor), María Teresa Castroviejo (actress), Francisco García Lorca (actor), Isabel García Lorca (actress), Concha García Lorca (actress);;;;;;;;;;;
41;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Margarita Xirgu;Compañía Española de Margarita Xirgu;Uruguay;Montevideo;1943;;Amelia de la Torre (actress), Isabel Pradas (actress), Helena Cortesina (actress), Enrique Álvarez Diosdado (actor), Andres Mejuto (actor), Edmundo Barbero (actor);;;;;;;;;;;
42;Auto de Navidad;;Juan Del Encina;;Spanish Club (Barnard);US;New York;1943;;;https://digitalcollections.barnard.edu/do/90fe4deb-0069-462a-a520-56a6c08e2e3c#page/4/mode/2up/search/encina;;;;;;;;;;
43;La Maya;;Lope De Vega;Margarita Ucelay;Circulo Hispano;US;New York;1944;18/12/1944;;https://exhibitions.library.columbia.edu/exhibits/show/the_hispanic_institute_between/barnard_college_women_and_the_/students-and-the-circulo-hisp;;;;;;;;;;
44;La Siega ;El senor En Su Heredad;Lope De Vega;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1944;20/12/1944;Enrique Garcia Alvarez & Manuel Nogales (directors), Lucio Lopez Rey (stage design), Assumpcio Casals (actress), Gustavo Rojo (actor), Jose Mora (actor), Francisco Jambrina (actor), Jesus Valero (actor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;
