WorkID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;;
33;El Gran Teatro Del Mundo;;Pedro Calderón De La Barca;Luis A. Baralt;;Cuba;;1943;10/4/43;Isabel Fernandez (actress);;;;;;;;;;;;
34;La Maya;;Lope De Vega;Margarita Ucelay;Circulo Hispano;US;New York;1943;21/12/1943;Margarita Ucelay (director), Federico de Onis (music);https://digitalcollections.barnard.edu/do/bf37598c-987d-41e6-ade2-a089f29ece15#page/2/mode/2up/search/lope;;;;;;;;;;;
35;El Burlador De Sevilla;;Tirso De Molina;;Grupo Dramático Del Instituto Hispánico;US;New York;1943;23/11/1943;;;;;;;;;;;;;
36;El Retablo De Las Maravillas;;Miguel De Cervantes;Max Aub;El Bu;Mexico;Mexico City;1943;;Max Aub (director), Miguel Prieto Anguita (stage design);;;;;;;;;;;;
37;La Gitanilla;;Miguel De Cervantes;;Teatro Gitano;USSR;Vladivostok;1943;;Cesar Arconada (adapter);;;;;;;;;;;;
38;Numancia;;Miguel De Cervantes;Margarita Xirgu;Compañía Española de Margarita Xirgu;Uruguay;Montevideo;1943;6/8/43;Rafael Alberti (adapter), Amelia de la Torre (actress), Isabel Pradas (actress), Helena Cortesina (actress), Enrique Álvarez Diosdado (actor), Andrés Mejuto (actor) y Edmundo Barbero (actor);;;;;;;;;;;;
39;Fuente Ovejuna;;Lope De Vega;Federico De Onis;Sociedades Hispanas Confederadas;US;New York;1943;;Federico de Onis (director), Francisco Garcia Lorca (actor), Isabel Garcia Lorca (actress), Ernesto Dacal (actor), Pedro Escobal;;;;;;;;;;;;
40;El Alcalde De Zalamea;;Pedro Calderón De La Barca;;Sociedades Hispanas Confederadas;US;New York;1942;;Leocadio Lobo (actor), María Teresa Castroviejo (actress), Francisco García Lorca (actor), Isabel García Lorca (actress), Concha García Lorca (actress);;;;;;;;;;;;
41;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Margarita Xirgu;Compañía Española de Margarita Xirgu;Uruguay;Montevideo;1943;;Amelia de la Torre (actress), Isabel Pradas (actress), Helena Cortesina (actress), Enrique Álvarez Diosdado (actor), Andres Mejuto (actor), Edmundo Barbero (actor);;;;;;;;;;;;
42;Auto de Navidad;;Juan Del Encina;;Spanish Club (Barnard);US;New York;1944;18/12/1944;;https://digitalcollections.barnard.edu/do/90fe4deb-0069-462a-a520-56a6c08e2e3c#page/4/mode/2up/search/encina;;;;;;;;;;;
43;La Maya;;Lope De Vega;Margarita Ucelay;Circulo Hispano;US;New York;1944;20/12/1944;;https://exhibitions.library.columbia.edu/exhibits/show/the_hispanic_institute_between/barnard_college_women_and_the_/students-and-the-circulo-hisp;;;;;;;;;;;
44;La Siega ;El senor En Su Heredad;Lope De Vega;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1944;dic-44;Enrique Garcia Alvarez & Manuel Nogales (directors), Lucio Lopez Rey (stage design), Assumpcio Casals (actress), Gustavo Rojo (actor), Jose Mora (actor), Francisco Jambrina (actor), Jesus Valero (actor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;;
45;El Puente Del Mundo;;Lope De Vega;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1944;dic-44;Enrique Garcia Alvarez & Manuel Nogales (directors), Lucio Lopez Rey (stage design), Assumpcio Casals (actress), Gustavo Rojo (actor), Jose Mora (actor), Francisco Jambrina (actor), Jesus Valero (actor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;;
46;La Guarda Cuidadosa;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;UK;;1944;;;;;;;;;;;;;;
47;La Dama Boba;;Lope De Vega;Margarita Xirgu;Compañía de Margarita Xirgu;Paraguay;Asunción;1944;15/8/44;Margarita Xirgu (director), Santiago Ontañón (set designer);;;;;;;;;;;;
48;Los Habladores;The Talkers;Miguel De Cervantes;Amelia A. Del Rio ;Wigs and Cues;US;New York;1945;11/5/45;;https://digitalcollections.barnard.edu/do/7df42bfb-78c6-4a28-88a8-f0c8517acde9#page/2/mode/2up/search/cervantes;;;;;;;;;;;
49;Reinar Despues De Morir;;Luis Velez De Guevara;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1945;;Enrique Garcia Alvarez & Manuel Casals (directors), Assumpcio Casals (actress), Micaela de Castejon (actress), Gustavo Rojo (actor);;;;;;;;;;;;
50;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1945;;;https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;;
51;Fuente Ovejuna;;Lope De Vega;Margarita Xirgu;Margarita Xirgu;Peru;Lima;1945;9/3/45;Santiago Ontañon (set designer);;;;;;;;;;;;
52;El Dragoncillo;;Pedro Calderon De La Barca;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1945;30/12/45;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;;
53;Rinconete y Cortadillo;;Miguel De Cervantes;Jose Estruch;Hogar Espanol;UK;London;1945;1/11/45;;;;;;;;;;;;;
54;La Cueva de Salamanca;;Miguel De Cervantes;Jose Estruch;Pedro Del Rincon;UK;London;1945;18/03/1945;;;;;;;;;;;;;
55;El Retablo De Las Maravillas;;Miguel De Cervantes;Daniel Castillejo;Cambridge University Spanish Society;UK;Cambridge;1945;5/12/45;;;;;;;;;;;;;
56;El Retablo De Las Maravillas;;Miguel De Cervantes;;Play reading-circle;UK;Cambridge;1945;1/3/45;The adaptation took place in Luis Cernuda’s rooms;;;;;;;;;;;;
57;El Burlador De Sevilla;;Tirso De Molina;;Instituto Hispanico;US;New York;1946;4/11/46;;https://www.jstor.org/stable/30219722;;;;;;;;;;;
58;Auto De Los Cuatro Tiempos;Auto De Las Cuatro Estaciones;Gil Vicente;;Instituto Hispanico;US;New York;1946;16/12/1946;;"https://www.jstor.org/stable/30219722?seq=1; https://digitalcollections.barnard.edu/do/980563ca-65bf-4f65-b0b5-9390c26e54d1#page/2/mode/2up/search/gil+vicente";;;;;;;;;;;
60;El Juez De Los Divorcios;;Miguel De Cervantes;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1946;7/1/46;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;;
61;El Viejo Celoso;;Miguel De Cervantes;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1946;7/1/46;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;;
62;Quijote;Sancho Panza en la ínsula Barataria;Miguel De Cervantes;;El Teatro Rodante Universitario;Puerto Rico;San Juan ;1946;12/6/46;Alejandro Casona (adapter), Pedro Salinas (consultant);;;;;;;;;;;;
63;Egloga VII;;Juan Del Encina;Jose Estruch;Grupo Teatral Hogar Español;UK;Londres;1946;;;;;;;;;;;;;;
64;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Grupo Teatral Del Hogar Español;UK;Londres;1946;;José Estruch (director), Helvecia Garcia (actress);;;;;;;;;;;;
65;El Retablo De Las Maravillas;;Miguel De Cervantes;;Club Español ;USSR;Moscow;1946;;Alberto Sanchez (set designer);;;;;;;;;;;;
66;La Guarda Cuidadosa;;Miguel De Cervantes;Alberto de Paz y Mateos;Teatro Experimental Del Liceo Fermín Toro;Venezuela;Caracas;1946;;Alberto de Paz y Mateos (director);;;;;;;;;;;;
67;Quijote;Sancho Panza En La Insula ;Miguel De Cervantes;;;Argentina;Buenos Aires;1947;oct-47;Alejandro Casona (adapter);;;;;;;;;;;;
68;Quijote;Las Bodas De Camacho;Miguel De Cervantes;Reynaldo de Zúñiga;Patronato del Teatro;Cuba;;1947;13/6/47;Angel Lazaro (adapter);;;;;;;;;;;;
69;El Retablo De Las Maravillas;;Miguel De Cervantes;;Spanish Club;US;New York;1947;23/04/1947;;https://digitalcollections.barnard.edu/do/a710686b-dbea-43a1-b0d6-3515b1dce4ba#page/4/mode/2up/search/cervantes;;;;;;;;;;;
70;La Vida Es Sueno;;Pedro Calderon De La Barca;;Instituto Hispanico;US;New York;1947;10/3/47;;https://www.jstor.org/stable/30206090;;;;;;;;;;;
71;La Vida Es Sueno;;Pedro Calderon De La Barca;Rivas Cherif;Teatro Espanol de America;Mexico;Mexico City;1947;25/11/47;Rivas Cherif (director and adapter), Miguel Macia (ctor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;;
72;La Guarda Cuidadosa;;Miguel De Cervantes;Rivas Cherif;;Mexico;;1947;;Rivas Cherif (director), Miguel Macia (actor);;;;;;;;;;;;
73;El Viejo Celoso;;Miguel De Cervantes;Ernesto Vilches;Union de Intelectuales Españoles de Mexico;Mexico;;1947;;Miguel Prieto (set designer);;;;;;;;;;;;
74;Quijote;Don Quixote;Miguel De Cervantes;Ángel Ara;Servicio Latinoamericano de la BBC;UK;London;1947;22/10/1947;"Angel Ara (director), Enrique Moreno Baez (adapter), Manuel Lazareno (music); radio drama";;;;;;;;;;;;
75;La Cueva De Salamanca;;Miguel De Cervantes;Josep Manye;BBC;UK;London;1947;oct-47;"Josep Manye (director and adapter), Eduardo Martinez Torner (composer); radio drama";;;;;;;;;;;;
76;El Juez De Los Divorcios;;Miguel De Cervantes;Jose Estruch;Hogar Español;UK;London;1947;;;;;;;;;;;;;;
77;La Guarda Cuidadosa;;Miguel De Cervantes;Jose Estruch / Manuel Lazareno;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch and Manuel Lazareno (directors), Jose Estruch (costume designer);;;;;;;;;;;;
78;La Española Inglesa;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;;
79;Quijote;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;;
80;El Licenciado Vidriera;Lienzo De La Vida De Don Miguel De Cervantes Saavedra;Miguel De Cervantes;Jose Estruch/ Manuel Lazareno/ Angel Ara;Hogar Español;UK;London;1947;29/11/1947;Jose Estruch, Manuel Lazareno & Angel Ara (directors);;;;;;;;;;;;
81;Los Habladores;;Miguel De Cervantes;Jose Estruch;Hogar Español;UK;London;1947;;Jose Estruch (director);;;;;;;;;;;;
82;La Cueva de Salamanca;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1947;; Rafael Martinez Nadal (director);;;;;;;;;;;;
83;La Guarda Cuidadosa;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1947;; Rafael Martinez Nadal (director);;;;;;;;;;;;
84;El Viejo Celoso;;Miguel De Cervantes;Emilio Aparicio Martínez;Teatro Escuela de Arte Nacional;Dominican Republic;;1947;;Emilio Aparicio Martínez (director);;;1947;;;;;;;;;
85;La Dama Boba;;Lope De Vega;Anatoli Blashkovski/ Felix Navarro;Club Espanol De Moscu;USSR;Moscow;1947;;Felix Navarro (director), Marta Gonzalez (costume designer), Alberto Sanchez (set designer), actors: Conchita Brufau, Araceli Sánchez, Aida Rodriguez, Aurora Aguirre, Pedro Munoz, Jose Maria Lanz, Jose Zaragoza, Joaquin Bernal, Melquiades Ruiz, Jose Arias, Juan Ruiz & Vicente Estevez;;;;;;;;;;;;
86;Don Gil De Las Calzas Verdes;;Tirso De Molina;Pedro Orthous;;Chile;;1948;;Jose Ricardo Morales (adapter);;;;;;;;;;;;
87;El Retablo De Las Maravillas;;Miguel De Cervantes;Ramón J. Sender;University of New Mexico ;US;Albuquerque;1948;23/7/48;;;;;;;;;;;;;
88;El Vizcaino Fingido;;Miguel De Cervantes;Edmundo Barbero;Escuela Nacional de Arte Escenico students;Peru;Lima;1948;9/1/48;;;;;;;;;;;;;
89;El Burlador De Sevilla;;Tirso De Molina;Pedro Morheiru;Teatro De Ensayo De La Universidad Católica;Chile;;1948;ago-48;Montserrat Julio Nonell (actress);;;;;;;;;;;;
90;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;France;;1948;;Jose Estruch (director);;;;;;;;;;;;
91;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;Czech Republic;;1948;;Jose Estruch (director);;;;;;;;;;;;
92;La Celestina;;Fernando De Rojas;Jose Ricardo Morales;Teatro Experimental Universitario;Chile;Santiago de Chile;1949;26/11/49;Jose Ricardo Morales (director, adapter and set designer);;;;;;;;;;;;
93;Don Gil De Las Calzas Verdes;;Tirso De Molina;Edmundo Barbero;Escuela Nacional de Arte Escenico students;Peru;Lima;1949;Jan-1949;Jose Ricardo Morales (director);;Perú;;;;;;;;;;
94;El Viejo Celoso;;Miguel De Cervantes;Rivas Cherif;El Teatro Rodante Universitario;Puerto Rico;;1949;;Rivas Cherif (director);https://www.teatro.es/++resource++plonetheme.teatro.images/multimedia/revistas/ep/s_042/00000045.pdf_pdf.pdf;;;;;;;;;;;
95;La Caratula;;Juan Del Encina;Rivas Cherif;El Teatro Rodante Universitario;Puerto Rico;;1949;;Rivas Cherif (director);https://www.teatro.es/++resource++plonetheme.teatro.images/multimedia/revistas/ep/s_042/00000045.pdf_pdf.pdf;;;?;;;;;;;;
96;El Burlador De Sevilla;;Tirso De Molina;Jose Maria Garcia Lora;;UK;Birmingham;1949;;Jose Maria Garcia Lora (director), Eduardo Torner (composer);;;;;;;;;;;;
97;El Burlador De Sevilla;;Tirso De Molina;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1949;22/3/49;;;;;;;;;;;;;
98;La Celestina;;Fernando De Rojas;Margarita Xirgu;Comedia Nacional De Uruguay;Uruguay;Montevideo;1949;28/10/1949;Margarita Xirgu (director), Jose Ricardo Morales (adapter);;;;;;;;;;;;
99;;Interlude;Miguel De Cervantes;;WKCR (Columbia's University Radio Station);US;New York;1950;;;https://digitalcollections.barnard.edu/do/eae79375-694f-492d-a6fa-3c1c1d1799e2#mode/2up/search/cervantes;;;;;;;;;;;
100;Auto De La Sibila Casandra;;Gil Vicente;;Spanish Club (Barnard);US;New York;1950;18/12/1950;;https://www.jstor.org/stable/30208109?seq=1;;;;;;;;;;;
101;El Retablo De Las Maravillas;;Miguel De Cervantes;;Circulo Hispano;US;New York;1950;19/04/1950;;https://www.jstor.org/stable/30206283?seq=1;;;;;;;;;;;
102;La Cueva de Salamanca;;Miguel De Cervantes;Luis Cernuda;Laboratory Theatre;US;South Hadley;1950;27/3/50;Luis Cernuda (director), Concha de Albornoz (consultant);https://compass.fivecolleges.edu/islandora/object/mtholyoke%3A62297?=19&search_api_fulltext=CERVANTES;;;;;;;;;;;
103;El Caballero De Olmedo;;Lope De Vega;Enrique Casal Chapí;Club de Teatro;Uruguay;Montevideo;1950;dic-50;Enrique Casal Chapí (director), José Estruch (assistant director);;;;;;;;;;;;
104;La Cueva De Salamanca;;Miguel De Cervantes;Laura De Los Ríos Giner;Circulo Hispano;US;New York;1951;20/04/1951;;https://digitalcollections.barnard.edu/do/7992a9cf-0eb4-45f9-ab37-b1c0d9ac31a2#page/4/mode/2up/search/CERVANTES;;;;;;;;;;;
105;El Retablo De Las Maravillas;;Miguel De Cervantes;;Escuela Municipal de Arte Dramatico;Paraguay;Asuncion;1951;;Josefina Pla (founder of the Escuela Municipal de Arte Dramatico);;;;;;;;;;;;
106;El Alcalde De Zalamea;El garrote mas bien dado o El alcalde de Zalamea;Pedro Calderon De La Barca;Rivas Cherif;Teatro Espanol de America en Puerto Rico;Puerto Rico;San Juan;1951;7/5/51;Cipriano Rivas Cherif (director), Eugenio F. Granell (set designer), Amparo Segarra (dressmaker);;;;;;;;;;;;
107;El Juez De Los Divorcios;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;21/03/1951;Rafael Martinez Nadal (director);;;;;;;;;;;;
108;Los Habladores;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;21/03/1951;Rafael Martinez Nadal (director);;;;;;;;;;;;
109;El Retablo De Las Maravillas;;Miguel De Cervantes;Rafael Martinez Nadal;King's College Spanish Society;UK;London;1951;21/03/1951;;;;;;;;;;;;;
110;Eglogla VII;Los Comediantes De Maese Pedro;Juan Del Encina;Jose Estruch;Club de Teatro;Uruguay;;1951;mar-51;Jose Estruch (director), Enrique Casal Chapi (assistant director);;;;;;;;;;;;
111;Don Gaiferos Y Las Busconas De Madrid;Los Comediantes De Maese Pedro;Luis Quiñones de Benavente;Jose Estruch;Club de Teatro;Uruguay;;1951;mar-51;;;;;;;;;;;;;
112;El Retablo De Las Maravillas;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;;1951;mar-51;;;;;;;;;;;;;
113;Los Habladores;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;;1951;mar-51;;;;;;;;;;;;;
114;Quijote;Don Quijote Y Los Galeotes;Miguel De Cervantes;Josefina Pla;Escuela Municipal de Arte Dramatico;Paraguay;Asuncion;1951;;Josefina Pla (director and adapter);;;;;;;;;;;;
115;Fuente Ovejuna;;Lope De Vega;Pedro Orthous;Teatro Nacional Chileno;Chile;Santiago de Chile;1952;;theatre company related to Pedro de la Barra;https://www.memoriachilena.gob.cl/602/w3-article-69471.html;;;;;;;;;;;
116;Los Habladores;;Miguel De Cervantes;Amelia A. Del Rio ;Spanish Club (Barnard);US;New York;1952;28/03/1952;Margarita Ucelay (dressmaker);https://digitalcollections.barnard.edu/do/f0db33f1-0556-4b6d-b044-aa4f5ceead4f#page/2/mode/2up/search/calderon;;;;;;;;;;;
117;El Retablo De Las Maravillas;;Miguel De Cervantes;;Barnard College Spanish Department;US;New York;1954;26/2/54;Ernesto Da Cal (actor);https://digitalcollections.barnard.edu/do/9b35b6c3-9615-4f25-9302-8f4eceeb8554;;;;;;;;;;;
118;El Caballero De Olmedo;;Lope De Vega;;Barnard College Spanish Department;US;New York;1953;20/11/1953;;https://digitalcollections.barnard.edu/do/24b92a25-e5be-4886-806f-b1ab25551524;;;;;;;;;;;
119;La Devocion De La Cruz;La Devotion de la croix;Pedro Calderon De La Barca;Marcel Herrand;;France;Angers;1953;14/6/53;;;;;;;;;;;;;
120;Las Mocedades Del Cid ;;Guillen De Castro;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1953;10/8/53;Alvaro Custodio (director), Blanca Chacel (actress), Amparo Villegas (actress), Josep Renau (set designer);;;;;;;;;;;;
121;La Celestina;;Fernando De Rojas;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1953;31/07/1953;Alvaro Custodio (director, adapter);;;;;;;;;;;;
122;La Celestina;;Fernando De Rojas;Alvaro Custodio;;Mexico;;1953;17/04/1953;Alvaro Custodio (director), Amparo Villegas (actress), Pilar Crespo (actress), Ofelia Guilmáin (actress), Blanca Chacel (actress), Lorenzo  de Rodas (actor);;;;;;;;;;;;
123;Fuente Ovejuna;;Lope De Vega;Margarita Xirgu;Comedia Nacional de Uruguay;Uruguay;Montevideo;1953;;Margarita Xirgu (director, adapter);;;;;;;;;;;;
124;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Margarita Xirgu;Comedia Nacional de Uruguay;Uruguay;Montevideo;1953;17/12/1953;Margarita Xirgu (director, adapter), Gori Munoz (set designer);http://margaritaxirgu.es/material/figurins/Alcalde%20de%20Zalamea/index.html;;;;;;;;;;;
125;La Estrella De Sevilla;;Lope De Vega;Jose Estruch;Club De Teatro;Uruguay;Montevideo;1953;20/11/1953;José Estruch (director, adapter), Jose Bergamin (consultant);;;;;;;;;;;;
126;Fuente Ovejuna;;Lope De Vega;Cesar Arconada;;USSR;;1953;;Cesar Arconada (adapter);;;;;;;;;Jose Bergamin;;;
127;El Retablo De Las Maravillas;Entremes Del Retablo De Las Maravillas;Miguel De Cervantes;;Barnard College Spanish Department;US;New York;1954;26/02/1954;Maria Teresa Castroviejo (actress), Francisco Garcia Lorca (actor), Ernesto Da Cal (actor) y Emilio Gonzalez Lopez (actor);https://digitalcollections.barnard.edu/do/c27c517b-8f13-4876-b1a1-476a95cf6e33#page/2/mode/2up/search/cervantes;;;;;;;;;;;
128;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;;Spanish Club;US;New York;1954;20/12/1954;;https://digitalcollections.barnard.edu/do/d1622868-08b8-4d81-89d2-cc740562012e#mode/2up/search/%22mundo%22;;;;;;;;;;;
129;La Discreta Enamorada;;Lope De Vega;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;;1954;2/12/54;"Alvaro Custodio (director, adapter); Jesus Bal y Gay (composer)";;;;;;;;;;;;
130;La Hidalga Del Valle;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Guadalajara;1954;jul-54;Alvaro Custodio (director, adapter);;;;;;;;;;;;
